iter	TotalF1	MultiClass
420	0.8916154406	-0.3205602927
421	0.891629744	-0.3204424107
422	0.8917217087	-0.3199995755
423	0.8917813633	-0.3197527168
424	0.8918260543	-0.3196249093
425	0.8918726415	-0.3192864678
426	0.8919156471	-0.3190934597
427	0.8919878544	-0.3188731403
428	0.892025913	-0.318664459
429	0.8920765057	-0.3183493481
430	0.8921229285	-0.3181671311
431	0.8922749276	-0.3178004523
432	0.8923582295	-0.3175744082
433	0.8923878967	-0.3172429787
434	0.8924742353	-0.3170529137
435	0.8925031198	-0.3168257674
436	0.8925548787	-0.3165905223
437	0.8926812026	-0.3164007414
438	0.8927419196	-0.3160787252
439	0.8928103039	-0.3159326784
440	0.8928612968	-0.3157446012
441	0.8929088395	-0.3155670133
442	0.8930008146	-0.3154113336
443	0.8930193625	-0.3153037105
444	0.8931391589	-0.3150862499
445	0.8931804696	-0.314893392
446	0.8932585712	-0.314532472
447	0.8932833748	-0.3143799309
448	0.8933697476	-0.3141761434
449	0.8933910863	-0.314029443
450	0.8935544859	-0.3137194281
451	0.8935835098	-0.3135455742
452	0.8936295414	-0.3133521657
453	0.8936595261	-0.313059553
454	0.8937342039	-0.3129507204
455	0.8937824588	-0.3127232548
456	0.8938379972	-0.3123796097
457	0.8937985286	-0.3120956107
458	0.8938127651	-0.311956597
459	0.8939041513	-0.3117503145
460	0.8939931044	-0.3114074919
461	0.8940172039	-0.311241588
462	0.8940975662	-0.3110457113
463	0.8941807256	-0.3107599824
464	0.8941740097	-0.3106551399
465	0.8942318877	-0.3103856148
466	0.8942767595	-0.3102613667
467	0.8943398495	-0.3100684339
468	0.8943720603	-0.3099226869
469	0.894509321	-0.3095882737
470	0.8945304869	-0.309330126
471	0.8945635759	-0.3090729179
472	0.8946357072	-0.3089026812
473	0.8947100324	-0.3087287597
474	0.8947544397	-0.3085482558
475	0.8947914462	-0.3084172491
476	0.8948272946	-0.3082550834
477	0.8948751737	-0.3080840709
478	0.8949417133	-0.3079303337
479	0.8950734192	-0.3076892314
480	0.8950858744	-0.3075281731
481	0.895067471	-0.3072795631
482	0.8951214378	-0.3071609293
483	0.8952092427	-0.306888791
484	0.8952900737	-0.3067192555
485	0.8953226465	-0.3066115449
486	0.8953776093	-0.3063902417
487	0.8954630657	-0.3062038788
488	0.8955491352	-0.3060323311
489	0.8955702401	-0.3057951168
490	0.8955940334	-0.3056491007
491	0.895704703	-0.3054220904
492	0.8957367548	-0.3053131556
493	0.8957332098	-0.3051738494
494	0.8957639541	-0.3049466225
495	0.8958271478	-0.3048419857
496	0.8958574154	-0.3046353776
497	0.8959062665	-0.3044894764
498	0.895882073	-0.304363675
499	0.8959504129	-0.3041595134
500	0.8959846635	-0.3040655017
501	0.8960266963	-0.3038394393
502	0.8960747188	-0.3037368736
503	0.8961836319	-0.3035726275
504	0.8961733805	-0.3033705939
505	0.8962795296	-0.3031969081
506	0.8963047706	-0.30311633
507	0.8963095871	-0.3029347972
508	0.8963505823	-0.3027936635
509	0.8964057711	-0.3025903465
510	0.8964605697	-0.302537605
511	0.8965300303	-0.3023703665
512	0.8965797306	-0.3021831896
513	0.8966225788	-0.302036995
514	0.8967606796	-0.3017837157
515	0.8968542004	-0.3015843105
516	0.8969223835	-0.3013896471
517	0.8969239014	-0.3012856535
518	0.8970088967	-0.3011018783
519	0.8970052042	-0.3010106805
520	0.897036749	-0.3008147216
521	0.8970239509	-0.3007133527
522	0.8971204732	-0.3005384129
523	0.8971415023	-0.300299019
524	0.8972084612	-0.3000781292
525	0.8972333245	-0.2999920099
526	0.897308054	-0.2998332523
527	0.8973121356	-0.2998330491
528	0.897325285	-0.2996995781
529	0.8973994934	-0.2995379634
530	0.8973740026	-0.2994183175
531	0.8974247684	-0.2992675869
532	0.897500954	-0.2991372362
533	0.8975358221	-0.2990091152
534	0.8976138417	-0.2988200479
535	0.8976565594	-0.298571631
536	0.8976861698	-0.2984064293
537	0.8978007012	-0.2982051687
538	0.8978275171	-0.2980473456
539	0.8978752701	-0.2979333435
540	0.8978890668	-0.2977432597
541	0.8979458894	-0.2976448122
542	0.8979653082	-0.2974329595
543	0.8980361449	-0.2972360018
544	0.8980585953	-0.2970801334
545	0.8981201646	-0.296946482
546	0.8981401516	-0.2969168542
547	0.8981980775	-0.2965795938
548	0.8982062016	-0.2964623697
549	0.898256997	-0.296362066
550	0.8983030226	-0.2961298911
551	0.8982959481	-0.2960152822
552	0.8983384379	-0.295897515
553	0.8984027838	-0.2957392892
554	0.8983867536	-0.295639569
555	0.8984207664	-0.2954782279
556	0.8984501096	-0.2953684179
557	0.898511559	-0.2952299253
558	0.8985154629	-0.29506452
559	0.8986061698	-0.2947852905
560	0.8986830275	-0.29461481
561	0.8987471792	-0.2944684324
562	0.8988859448	-0.2941037722
563	0.8988981414	-0.2940020759
564	0.8990040348	-0.2937664008
565	0.8990404354	-0.2935730399
566	0.8990242272	-0.2934964844
567	0.8991097039	-0.2933784697
568	0.8991306651	-0.2932577273
569	0.8991549357	-0.2931408602
570	0.899239046	-0.292987333
571	0.8992310233	-0.2929165867
572	0.8993603918	-0.2927632302
573	0.8993456997	-0.2926363628
574	0.8994173199	-0.2924949529
575	0.8994586287	-0.2923482231
576	0.8994830563	-0.2922819351
577	0.8994659523	-0.2920639125
578	0.8995172086	-0.2919405142
579	0.8995621901	-0.2918704325
580	0.8995951723	-0.2916610681
581	0.8996424109	-0.2915478914
582	0.8996647644	-0.2914641769
583	0.8996946324	-0.2912941782
584	0.8997380383	-0.2912180288
585	0.8998007981	-0.290990864
586	0.899851541	-0.2908195681
587	0.8998618312	-0.2906375796
588	0.8999532588	-0.2905475911
589	0.8999550749	-0.2903532916
590	0.9000155727	-0.2901872442
591	0.9000239542	-0.2900746125
592	0.9000816083	-0.2898417044
593	0.9001250099	-0.2897495572
594	0.9001564371	-0.2896085734
595	0.9001597954	-0.2895149411
596	0.9001925711	-0.2893972138
597	0.9001907457	-0.2893193573
598	0.9002840098	-0.2890618384
599	0.9003128864	-0.2889842131
600	0.9003587364	-0.2889333824
601	0.9003491595	-0.2888683512
602	0.9003964157	-0.28873825
603	0.9004564646	-0.2885739814
604	0.9004712958	-0.2884933145
605	0.9005713436	-0.2883798846
606	0.900604776	-0.2881995509
607	0.9006305351	-0.2880904861
608	0.9006300201	-0.2879855015
609	0.9006637841	-0.2878403288
610	0.9007497153	-0.2876757502
611	0.9007709101	-0.2875582228
612	0.9008196751	-0.2874690845
613	0.9008750435	-0.2873229741
